Date : 2022-11-03 22:11:48
Directory : /home/deus/projects/zoxel/Source
Total : 136 files,  3657 codes, 1186 comments, 356 blanks, all 5199 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| Core/Rendering/Core/Systems                                                                        |          4 |         61 |         28 |          6 |         95 |
| Core/Rendering/OpenGL                                                                              |         12 |        595 |        267 |         78 |        940 |
| Core/Rendering/OpenGL/Data                                                                         |          3 |         31 |          3 |          0 |         34 |
| Core/Rendering/OpenGL/Dynamic                                                                      |          2 |         79 |         67 |         17 |        163 |
| Core/Rendering/OpenGL/Rendering                                                                    |          3 |        278 |        117 |         36 |        431 |
| Core/Rendering/OpenGL/Util                                                                         |          3 |        154 |         70 |         19 |        243 |
| Core/Timing                                                                                        |          3 |         27 |          5 |          2 |         34 |
| Core/Timing/Components                                                                             |          1 |          1 |          1 |          0 |          2 |
| Core/Timing/Systems                                                                                |          1 |         15 |          1 |          0 |         16 |
| Core/Transforms                                                                                    |          4 |         49 |         22 |          7 |         78 |
| Core/Transforms/Transforms2D                                                                       |          2 |         20 |          7 |          2 |         29 |
| Core/Transforms/Transforms2D/Util                                                                  |          1 |          6 |          1 |          0 |          7 |
| Core/Transforms/Transforms3D                                                                       |          1 |         18 |         13 |          3 |         34 |
| Gameplay                                                                                           |         19 |         75 |        119 |         27 |        221 |
| Gameplay/Achievements                                                                              |          1 |          0 |          0 |          1 |          1 |
| Gameplay/Actions                                                                                   |          1 |          0 |          0 |          1 |          1 |
| Gameplay/Characters                                                                                |          5 |         75 |        119 |         13 |        207 |
| Gameplay/Characters/Characters2D                                                                   |          3 |         57 |        117 |         10 |        184 |
| Gameplay/Characters/Characters2D/Prefabs                                                           |          1 |         20 |          2 |          1 |         23 |
| Gameplay/Characters/Characters2D/Systems                                                           |          1 |          9 |        107 |          6 |        122 |
| Gameplay/Characters/Characters3D                                                                   |          1 |          7 |          1 |          1 |          9 |
| Gameplay/Clans                                                                                     |          1 |          0 |          0 |          1 |          1 |
| Gameplay/Classes                                                                                   |          1 |          0 |          0 |          1 |          1 |
| Gameplay/Crafting                                                                                  |          1 |          0 |          0 |          1 |          1 |
| Gameplay/Farming                                                                                   |          1 |          0 |          0 |          1 |          1 |
| Gameplay/Items                                                                                     |          1 |          0 |          0 |          1 |          1 |
| Gameplay/Jobs                                                                                      |          1 |          0 |          0 |          1 |          1 |
| Gameplay/Lores                                                                                     |          1 |          0 |          0 |          1 |          1 |
| Gameplay/Quests                                                                                    |          1 |          0 |          0 |          1 |          1 |
| Gameplay/Races                                                                                     |          1 |          0 |          0 |          1 |          1 |
| Gameplay/Skills                                                                                    |          1 |          0 |          0 |          1 |          1 |
| Gameplay/Stats                                                                                     |          1 |          0 |          0 |          1 |          1 |
| Gameplay/Turrets                                                                                   |          1 |          0 |          0 |          1 |          1 |
| InnerCore                                                                                          |         29 |        547 |        216 |         49 |        812 |
| InnerCore/Audios                                                                                   |          3 |         37 |         21 |         11 |         69 |
| InnerCore/Audios/Musics                                                                            |          1 |          9 |          7 |          4 |         20 |
| InnerCore/Audios/Sounds                                                                            |          1 |         17 |         13 |          5 |         35 |
| InnerCore/Physics                                                                                  |         11 |        172 |         74 |          9 |        255 |
| InnerCore/Physics/Physics2D                                                                        |          7 |        109 |         41 |          3 |        153 |
| InnerCore/Physics/Physics2D/Systems                                                                |          5 |         81 |         35 |          1 |        117 |
| InnerCore/Physics/Physics2D/Util                                                                   |          1 |          6 |          0 |          0 |          6 |
| InnerCore/Physics/Physics3D                                                                        |          3 |         50 |         29 |          2 |         81 |
| InnerCore/Physics/Physics3D/Systems                                                                |          2 |         33 |         20 |          0 |         53 |
| InnerCore/Textures                                                                                 |         10 |        312 |        104 |         22 |        438 |
| InnerCore/Textures/Core                                                                            |          9 |        303 |         98 |         19 |        420 |
| InnerCore/Textures/Core/Prefabs                                                                    |          1 |         27 |          1 |          4 |         32 |
| InnerCore/Textures/Core/Systems                                                                    |          5 |        198 |         56 |          5 |        259 |
| InnerCore/Textures/Core/tests                                                                      |          1 |         20 |          1 |          4 |         25 |
| InnerCore/Textures/Core/Util                                                                       |          1 |         25 |         20 |          4 |         49 |
| InnerCore/Tiles                                                                                    |          1 |          0 |          0 |          1 |          1 |
| InnerCore/Voxels                                                                                   |          4 |         26 |         17 |          6 |         49 |
| InnerCore/Voxels/Core                                                                              |          3 |         17 |         15 |          3 |         35 |
| InnerCore/Voxels/Core/Components                                                                   |          2 |          8 |          7 |          0 |         15 |
| OuterCore                                                                                          |         11 |        236 |         82 |         16 |        334 |
| OuterCore/AI                                                                                       |          3 |          0 |          0 |          3 |          3 |
| OuterCore/AI/Genetics                                                                              |          1 |          0 |          0 |          1 |          1 |
| OuterCore/AI/Neurals                                                                               |          1 |          0 |          0 |          1 |          1 |
| OuterCore/Animations                                                                               |          1 |          0 |          0 |          1 |          1 |
| OuterCore/Particles                                                                                |          3 |        119 |         20 |          2 |        141 |
| OuterCore/Particles/Prefabs                                                                        |          1 |         16 |          6 |          0 |         22 |
| OuterCore/Particles/Systems                                                                        |          1 |         91 |         10 |          0 |        101 |
| OuterCore/Particles2D                                                                              |          3 |        117 |         62 |          9 |        188 |
| OuterCore/Particles2D/Prefabs                                                                      |          1 |         15 |          2 |          1 |         18 |
| OuterCore/Particles2D/Systems                                                                      |          1 |         90 |         56 |          6 |        152 |
| OuterCore/UI                                                                                       |          1 |          0 |          0 |          1 |          1 |
| Space                                                                                              |         12 |        372 |        134 |         15 |        521 |
| Space/Dungeons                                                                                     |          1 |          0 |          0 |          1 |          1 |
| Space/Players                                                                                      |          9 |        372 |        134 |         12 |        518 |
| Space/Players/Prefabs                                                                              |          1 |          9 |          1 |          1 |         11 |
| Space/Players/Systems                                                                              |          6 |        306 |        107 |          8 |        421 |
| Space/Players/Util                                                                                 |          1 |         14 |          6 |          1 |         21 |
| Space/Realms                                                                                       |          1 |          0 |          0 |          1 |          1 |
| Space/Weather                                                                                      |          1 |          0 |          0 |          1 |          1 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                           | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/deus/projects/zoxel/Source/Core/App/App.c                                               | C        |         13 |          1 |          2 |         16 |
| /home/deus/projects/zoxel/Source/Core/App/Util/FlecsUtil.c                                    | C        |         29 |          4 |          3 |         36 |
| /home/deus/projects/zoxel/Source/Core/App/Util/SDLUtil.c                                      | C        |        195 |         38 |         17 |        250 |
| /home/deus/projects/zoxel/Source/Core/Cameras/Cameras.c                                       | C        |         32 |         18 |          3 |         53 |
| /home/deus/projects/zoxel/Source/Core/Cameras/Prefabs/Camera2D.c                              | C        |          8 |          1 |          1 |         10 |
| /home/deus/projects/zoxel/Source/Core/Cameras/Prefabs/CameraBase.c                            | C        |         15 |          1 |          1 |         17 |
| /home/deus/projects/zoxel/Source/Core/Cameras/Systems/CameraMovementSystem.c                  | C        |          0 |          1 |          0 |          1 |
| /home/deus/projects/zoxel/Source/Core/Cameras/Systems/ProjectionMatrixSystem.c                | C        |         56 |         10 |          3 |         69 |
| /home/deus/projects/zoxel/Source/Core/Cameras/Systems/ViewMatrixSystem.c                      | C        |         18 |          6 |          0 |         24 |
| /home/deus/projects/zoxel/Source/Core/Cameras/Util/MainCamera.c                               | C        |         40 |         15 |          5 |         60 |
| /home/deus/projects/zoxel/Source/Core/Core/Core.c                                             | C        |         34 |         10 |          3 |         47 |
| /home/deus/projects/zoxel/Source/Core/Core/Data/color.c                                       | C        |          7 |          1 |          0 |          8 |
| /home/deus/projects/zoxel/Source/Core/Core/Data/double2.c                                     | C        |          5 |          1 |          0 |          6 |
| /home/deus/projects/zoxel/Source/Core/Core/Data/float2.c                                      | C        |         16 |          1 |          2 |         19 |
| /home/deus/projects/zoxel/Source/Core/Core/Data/float3.c                                      | C        |         38 |          2 |          6 |         46 |
| /home/deus/projects/zoxel/Source/Core/Core/Data/float4.c                                      | C        |         62 |         14 |         11 |         87 |
| /home/deus/projects/zoxel/Source/Core/Core/Data/float4x4.c                                    | C        |         50 |          1 |          5 |         56 |
| /home/deus/projects/zoxel/Source/Core/Core/Data/int2.c                                        | C        |          5 |          1 |          0 |          6 |
| /home/deus/projects/zoxel/Source/Core/Core/Systems/EntityDirtyResetSystem.c                   | C        |         18 |          4 |          1 |         23 |
| /home/deus/projects/zoxel/Source/Core/Core/tests/math_tests.c                                 | C        |         72 |          0 |          2 |         74 |
| /home/deus/projects/zoxel/Source/Core/Core/Util/flecs_extensions.c                            | C        |         20 |          9 |          5 |         34 |
| /home/deus/projects/zoxel/Source/Core/Core/Util/flecs_macros.c                                | C        |        137 |         17 |         20 |        174 |
| /home/deus/projects/zoxel/Source/Core/Core/Util/math.c                                        | C        |        130 |          8 |         16 |        154 |
| /home/deus/projects/zoxel/Source/Core/Inputs/Components/Gamepad.c                             | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Core/Inputs/Components/Keyboard.c                            | C        |         50 |          4 |          0 |         54 |
| /home/deus/projects/zoxel/Source/Core/Inputs/Components/Mouse.c                               | C        |         10 |          4 |          0 |         14 |
| /home/deus/projects/zoxel/Source/Core/Inputs/Components/Touchscreen.c                         | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Core/Inputs/Data/Finger.c                                    | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Core/Inputs/Data/PhysicalButton.c                            | C        |          6 |          1 |          0 |          7 |
| /home/deus/projects/zoxel/Source/Core/Inputs/Inputs.c                                         | C        |         21 |          4 |          3 |         28 |
| /home/deus/projects/zoxel/Source/Core/Inputs/Systems/KeyboardExtractSystem.c                  | C        |        222 |          5 |          8 |        235 |
| /home/deus/projects/zoxel/Source/Core/Inputs/Systems/MouseExtractSystem.c                     | C        |         75 |          3 |          5 |         83 |
| /home/deus/projects/zoxel/Source/Core/Networking/Networking.c                                 | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Core/Rendering/Core/Components/Brightness.c                  | C        |          1 |          1 |          0 |          2 |
| /home/deus/projects/zoxel/Source/Core/Rendering/Core/Components/Material.c                    | C        |         19 |          5 |          4 |         28 |
| /home/deus/projects/zoxel/Source/Core/Rendering/Core/Components/Mesh.c                        | C        |          8 |          4 |          0 |         12 |
| /home/deus/projects/zoxel/Source/Core/Rendering/Core/Components/ShaderLink.c                  | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Core/Rendering/Core/Components/TextureGPULink.c              | C        |         19 |          2 |          4 |         25 |
| /home/deus/projects/zoxel/Source/Core/Rendering/Core/RenderingCore.c                          | C        |         26 |         14 |          2 |         42 |
| /home/deus/projects/zoxel/Source/Core/Rendering/Core/Systems/InstanceRender2DSystem.c         | C        |         17 |          4 |          2 |         23 |
| /home/deus/projects/zoxel/Source/Core/Rendering/Core/Systems/InstanceRender3DSystem.c         | C        |         17 |          4 |          1 |         22 |
| /home/deus/projects/zoxel/Source/Core/Rendering/Core/Systems/ParticleRenderSystem.c           | C        |          4 |         17 |          2 |         23 |
| /home/deus/projects/zoxel/Source/Core/Rendering/Core/Systems/RenderMaterial2DSystem.c         | C        |         23 |          3 |          1 |         27 |
| /home/deus/projects/zoxel/Source/Core/Rendering/Makefile                                      | Makefile |          0 |         24 |          1 |         25 |
| /home/deus/projects/zoxel/Source/Core/Rendering/OpenGL/Data/Material2D.c                      | C        |         10 |          1 |          0 |         11 |
| /home/deus/projects/zoxel/Source/Core/Rendering/OpenGL/Data/Material3D.c                      | C        |          9 |          1 |          0 |         10 |
| /home/deus/projects/zoxel/Source/Core/Rendering/OpenGL/Data/MaterialTextured2D.c              | C        |         12 |          1 |          0 |         13 |
| /home/deus/projects/zoxel/Source/Core/Rendering/OpenGL/Dynamic/opengl.c                       | C++      |         36 |         43 |          9 |         88 |
| /home/deus/projects/zoxel/Source/Core/Rendering/OpenGL/Dynamic/opengl.h                       | C        |         43 |         24 |          8 |         75 |
| /home/deus/projects/zoxel/Source/Core/Rendering/OpenGL/OpenGL.c                               | C        |         53 |         10 |          6 |         69 |
| /home/deus/projects/zoxel/Source/Core/Rendering/OpenGL/Rendering/Instanced2DMaterial.c        | C        |         87 |         32 |          8 |        127 |
| /home/deus/projects/zoxel/Source/Core/Rendering/OpenGL/Rendering/Instanced3DMaterial.c        | C        |         60 |          4 |          8 |         72 |
| /home/deus/projects/zoxel/Source/Core/Rendering/OpenGL/Rendering/Textured2DMaterial.c         | C        |        131 |         81 |         20 |        232 |
| /home/deus/projects/zoxel/Source/Core/Rendering/OpenGL/Util/MeshUtil.c                        | C        |         38 |          4 |          5 |         47 |
| /home/deus/projects/zoxel/Source/Core/Rendering/OpenGL/Util/OpenGLUtil.c                      | C        |         12 |         33 |          6 |         51 |
| /home/deus/projects/zoxel/Source/Core/Rendering/OpenGL/Util/ShaderUtil.c                      | C        |        104 |         33 |          8 |        145 |
| /home/deus/projects/zoxel/Source/Core/Rendering/Rendering.c                                   | C        |         11 |          2 |          3 |         16 |
| /home/deus/projects/zoxel/Source/Core/Timing/Components/DestroyInTime.c                       | C        |          1 |          1 |          0 |          2 |
| /home/deus/projects/zoxel/Source/Core/Timing/Systems/DestroyInTimeSystem.c                    | C        |         15 |          1 |          0 |         16 |
| /home/deus/projects/zoxel/Source/Core/Timing/Timing.c                                         | C        |         11 |          3 |          2 |         16 |
| /home/deus/projects/zoxel/Source/Core/Transforms/Transforms.c                                 | C        |         11 |          2 |          2 |         15 |
| /home/deus/projects/zoxel/Source/Core/Transforms/Transforms2D/Transforms2D.c                  | C        |         14 |          6 |          2 |         22 |
| /home/deus/projects/zoxel/Source/Core/Transforms/Transforms2D/Util/Transforms2DUtil.c         | C        |          6 |          1 |          0 |          7 |
| /home/deus/projects/zoxel/Source/Core/Transforms/Transforms3D/Transforms3D.c                  | C        |         18 |         13 |          3 |         34 |
| /home/deus/projects/zoxel/Source/Gameplay/Achievements/Achievements.c                         | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Gameplay/Actions/Actions.c                                   | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Gameplay/Characters/Characters.c                             | C        |         11 |          1 |          2 |         14 |
| /home/deus/projects/zoxel/Source/Gameplay/Characters/Characters2D/Characters2D.c              | C        |         28 |          8 |          3 |         39 |
| /home/deus/projects/zoxel/Source/Gameplay/Characters/Characters2D/Prefabs/Character2D.c       | C        |         20 |          2 |          1 |         23 |
| /home/deus/projects/zoxel/Source/Gameplay/Characters/Characters2D/Systems/BobSpawnSystem.c    | C        |          9 |        107 |          6 |        122 |
| /home/deus/projects/zoxel/Source/Gameplay/Characters/Characters3D/Characters3D.c              | C        |          7 |          1 |          1 |          9 |
| /home/deus/projects/zoxel/Source/Gameplay/Clans/Clans.c                                       | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Gameplay/Classes/Classes.c                                   | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Gameplay/Crafting/Crafting.c                                 | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Gameplay/Farming/Farming.c                                   | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Gameplay/Items/Items.c                                       | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Gameplay/Jobs/Jobs.c                                         | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Gameplay/Lores/Lores.c                                       | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Gameplay/Quests/Quests.c                                     | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Gameplay/Races/Races.c                                       | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Gameplay/Skills/Skills.c                                     | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Gameplay/Stats/Stats.c                                       | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Gameplay/Turrets/Turrets.c                                   | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/InnerCore/Audios/Audios.c                                    | C        |         11 |          1 |          2 |         14 |
| /home/deus/projects/zoxel/Source/InnerCore/Audios/Musics/Musics.c                             | C        |          9 |          7 |          4 |         20 |
| /home/deus/projects/zoxel/Source/InnerCore/Audios/Sounds/Sounds.c                             | C        |         17 |         13 |          5 |         35 |
| /home/deus/projects/zoxel/Source/InnerCore/Physics/Physics.c                                  | C        |         13 |          4 |          4 |         21 |
| /home/deus/projects/zoxel/Source/InnerCore/Physics/Physics2D/Physics2D.c                      | C        |         22 |          6 |          2 |         30 |
| /home/deus/projects/zoxel/Source/InnerCore/Physics/Physics2D/Systems/Acceleration2DSystem.c   | C        |         16 |          1 |          0 |         17 |
| /home/deus/projects/zoxel/Source/InnerCore/Physics/Physics2D/Systems/Friction2DSystem.c       | C        |         14 |         19 |          1 |         34 |
| /home/deus/projects/zoxel/Source/InnerCore/Physics/Physics2D/Systems/Gravity2DSystem.c        | C        |          3 |         12 |          0 |         15 |
| /home/deus/projects/zoxel/Source/InnerCore/Physics/Physics2D/Systems/Torque2DSystem.c         | C        |         17 |          1 |          0 |         18 |
| /home/deus/projects/zoxel/Source/InnerCore/Physics/Physics2D/Systems/Velocity2DSystem.c       | C        |         31 |          2 |          0 |         33 |
| /home/deus/projects/zoxel/Source/InnerCore/Physics/Physics2D/Util/Physics2DUtil.c             | C        |          6 |          0 |          0 |          6 |
| /home/deus/projects/zoxel/Source/InnerCore/Physics/Physics3D/Physics3D.c                      | C        |         17 |          9 |          2 |         28 |
| /home/deus/projects/zoxel/Source/InnerCore/Physics/Physics3D/Systems/Acceleration3DSystem.c   | C        |         18 |          1 |          0 |         19 |
| /home/deus/projects/zoxel/Source/InnerCore/Physics/Physics3D/Systems/Velocity3DSystem.c       | C        |         15 |         19 |          0 |         34 |
| /home/deus/projects/zoxel/Source/InnerCore/Textures/Core/Prefabs/NoiseTexture.c               | C        |         27 |          1 |          4 |         32 |
| /home/deus/projects/zoxel/Source/InnerCore/Textures/Core/Systems/AnimateNoiseSystem.c         | C        |         31 |          2 |          0 |         33 |
| /home/deus/projects/zoxel/Source/InnerCore/Textures/Core/Systems/GenerateTextureResetSystem.c | C        |         18 |          2 |          0 |         20 |
| /home/deus/projects/zoxel/Source/InnerCore/Textures/Core/Systems/NoiseTextureSystem.c         | C        |         92 |         12 |          2 |        106 |
| /home/deus/projects/zoxel/Source/InnerCore/Textures/Core/Systems/TextureDirtySystem.c         | C        |          5 |         24 |          1 |         30 |
| /home/deus/projects/zoxel/Source/InnerCore/Textures/Core/Systems/TextureUpdateSystem.c        | C        |         52 |         16 |          2 |         70 |
| /home/deus/projects/zoxel/Source/InnerCore/Textures/Core/tests/TestTexture.c                  | C        |         20 |          1 |          4 |         25 |
| /home/deus/projects/zoxel/Source/InnerCore/Textures/Core/TexturesCore.c                       | C        |         33 |         20 |          2 |         55 |
| /home/deus/projects/zoxel/Source/InnerCore/Textures/Core/Util/TexturesSDL.c                   | C        |         25 |         20 |          4 |         49 |
| /home/deus/projects/zoxel/Source/InnerCore/Textures/Textures.c                                | C        |          9 |          6 |          3 |         18 |
| /home/deus/projects/zoxel/Source/InnerCore/Tiles/Tiles.c                                      | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/InnerCore/Voxels/Core/Components/Chunk.c                     | C        |          4 |          5 |          0 |          9 |
| /home/deus/projects/zoxel/Source/InnerCore/Voxels/Core/Components/ChunkLinks.c                | C        |          4 |          2 |          0 |          6 |
| /home/deus/projects/zoxel/Source/InnerCore/Voxels/Core/VoxelsCore.h                           | C++      |          9 |          8 |          3 |         20 |
| /home/deus/projects/zoxel/Source/InnerCore/Voxels/Voxels.c                                    | C        |          9 |          2 |          3 |         14 |
| /home/deus/projects/zoxel/Source/OuterCore/AI/AI.c                                            | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/OuterCore/AI/Genetics/Genetics.c                             | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/OuterCore/AI/Neurals/Neurals.c                               | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/OuterCore/Animations/Animations.c                            | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/OuterCore/Particles/Particles.c                              | C        |         12 |          4 |          2 |         18 |
| /home/deus/projects/zoxel/Source/OuterCore/Particles/Prefabs/Particle.c                       | C        |         16 |          6 |          0 |         22 |
| /home/deus/projects/zoxel/Source/OuterCore/Particles/Systems/ParticleSpawnSystem.c            | C        |         91 |         10 |          0 |        101 |
| /home/deus/projects/zoxel/Source/OuterCore/Particles2D/Particles2D.c                          | C        |         12 |          4 |          2 |         18 |
| /home/deus/projects/zoxel/Source/OuterCore/Particles2D/Prefabs/Particle2D.c                   | C        |         15 |          2 |          1 |         18 |
| /home/deus/projects/zoxel/Source/OuterCore/Particles2D/Systems/Particle2DSpawnSystem.c        | C        |         90 |         56 |          6 |        152 |
| /home/deus/projects/zoxel/Source/OuterCore/UI/UI.c                                            | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Space/Dungeons/Dungeons.cc                                   | C++      |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Space/Players/Players.c                                      | C        |         43 |         20 |          2 |         65 |
| /home/deus/projects/zoxel/Source/Space/Players/Prefabs/PlayerCharacter2D.c                    | C        |          9 |          1 |          1 |         11 |
| /home/deus/projects/zoxel/Source/Space/Players/Systems/CameraFollow2DSystem.c                 | C        |         23 |         16 |          2 |         41 |
| /home/deus/projects/zoxel/Source/Space/Players/Systems/FreeCameraMoveSystem.c                 | C        |         74 |         46 |          0 |        120 |
| /home/deus/projects/zoxel/Source/Space/Players/Systems/FreeCameraRotateSystem.c               | C        |         49 |         12 |          2 |         63 |
| /home/deus/projects/zoxel/Source/Space/Players/Systems/FreeCameraToggleSystem.c               | C        |         60 |         25 |          3 |         88 |
| /home/deus/projects/zoxel/Source/Space/Players/Systems/Player2DMoveSystem.c                   | C        |         74 |          6 |          0 |         80 |
| /home/deus/projects/zoxel/Source/Space/Players/Systems/Player2DTestSystem.c                   | C        |         26 |          2 |          1 |         29 |
| /home/deus/projects/zoxel/Source/Space/Players/Util/PlayerCharacter2D.c                       | C        |         14 |          6 |          1 |         21 |
| /home/deus/projects/zoxel/Source/Space/Realms/Realms.c                                        | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/Space/Weather/Weather.c                                      | C        |          0 |          0 |          1 |          1 |
| /home/deus/projects/zoxel/Source/main.c                                                       | C        |        227 |         76 |         15 |        318 |
| Total                                                                                              |          |      3,657 |      1,186 |        356 |      5,199 |
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
